nest_id,species,year,zone
RLHA402,rough legged hawk,2014,study area
RLHA402,rough legged hawk,2015,study area
RLHA406,rough legged hawk,2014,study area
RLHA406,rough legged hawk,2015,study area
RLHA409,rough legged hawk,2014,study area
RLHA410,rough legged hawk,2014,study area
RLHA410,rough legged hawk,2015,study area
RLHAAB01,rough legged hawk,2016,study area
RLHAAB01,rough legged hawk,2018,study area
RLHAAB01,rough legged hawk,2019,study area
RLHAAB02,rough legged hawk,2016,study area
RLHAAB03,rough legged hawk,2016,study area
RLHAAB03,rough legged hawk,2019,study area
RLHAAB04,rough legged hawk,2016,study area
RLHAAB05,rough legged hawk,2016,study area
RLHAAB06,rough legged hawk,2016,study area
RLHAAB07,rough legged hawk,2016,study area
RLHAAB08,rough legged hawk,2016,study area
RLHAAB09,rough legged hawk,2016,study area
RLHAAB10,rough legged hawk,2016,study area
RLHAAB11,rough legged hawk,2016,study area
RLHAAB12,rough legged hawk,2016,study area
RLHAAB13,rough legged hawk,2016,study area
RLHAAB14,rough legged hawk,2016,study area
RLHAABKB01,rough legged hawk,2019,study area
RLHAABKB02,rough legged hawk,2019,study area
RLHACCJ01,rough legged hawk,2016,study area
RLHADL01,rough legged hawk,2016,study area
RLHAED01,rough legged hawk,2016,study area
RLHAED01,rough legged hawk,2019,study area
RLHAED02,rough legged hawk,2019,study area
RLHAED03,rough legged hawk,2019,study area
RLHAED04,rough legged hawk,2019,study area
RLHAED05,rough legged hawk,2019,study area
RLHAJB01,rough legged hawk,2016,study area
RLHAJB02,rough legged hawk,2016,study area
RLHAJD01,rough legged hawk,2016,study area
RLHAMV01,rough legged hawk,2019,study area
RLHAMZ01,rough legged hawk,2019,study area
RLHASL01,rough legged hawk,2011,study area
FAPE-MP-01,peregrine falcon,2022,study area
PEFA-DG-01,peregrine falcon,2022,study area
PEFA-GB-01,peregrine falcon,2022,study area
PEFA-LM-01,peregrine falcon,2022,study area
PEFA-TG-02,peregrine falcon,2022,study area
RLHA-DB-01,rough legged hawk,2022,study area
RLHA-LM-01,rough legged hawk,2022,study area
RLHA-TG-01,rough legged hawk,2022,study area
