"","Year","Habitat","plot_number","R_plot_ID","nb_nest","area_km2"
"483",2013,"Wetland",2,"PH2",13,0.01
"484",2013,"Wetland",3,"PH3",9,0.01
"485",2013,"Wetland",4,"PH4",0,0.01
"486",2013,"Wetland",5,"PH5",9,0.01
"487",2013,"Wetland",6,"PH6",6,0.01
"488",2013,"Wetland",7,"PH7",7,0.01
"489",2013,"Mesic",1,"PM1",8,0.04
"490",2013,"Mesic",2,"PM2",14,0.04
"491",2013,"Mesic",3,"PM3",15,0.04
"492",2013,"Mesic",4,"PM4",5,0.04
"493",2013,"Mesic",5,"PM5",5,0.04
"494",2013,"Mesic",6,"PM6",9,0.04
"495",2014,"Wetland",1,"PH1",1,0.01
"496",2014,"Wetland",10,"PH10",1,0.01
"497",2014,"Wetland",2,"PH2",3,0.01
"498",2014,"Wetland",3,"PH3",2,0.01
"499",2014,"Wetland",4,"PH4",8,0.01
"500",2014,"Wetland",5,"PH5",3,0.01
"501",2014,"Wetland",6,"PH6",5,0.01
"502",2014,"Wetland",7,"PH7",5,0.01
"503",2014,"Wetland",8,"PH8",13,0.01
"504",2014,"Wetland",9,"PH9",18,0.01
"505",2014,"Mesic",1,"PM1",59,0.04
"506",2014,"Mesic",2,"PM2",6,0.04
"507",2014,"Mesic",3,"PM3",6,0.04
"508",2014,"Mesic",4,"PM4",0,0.04
"509",2014,"Mesic",5,"PM5",5,0.04
"510",2014,"Mesic",6,"PM6",15,0.04
"511",2014,"Mesic",7,"PM7",5,0.04
"512",2014,"Mesic",8,"PM8",32,0.04
"513",2014,"Mesic",9,"PM9",2,0.04
"514",2014,"Mesic",10,"PM10",25,0.04
"515",2015,"Wetland",1,"PH1",18,0.01
"516",2015,"Wetland",2,"PH2",1,0.01
"517",2015,"Wetland",3,"PH3",14,0.01
"518",2015,"Wetland",4,"PH4",0,0.01
"519",2015,"Wetland",5,"PH5",6,0.01
"520",2015,"Wetland",6,"PH6",0,0.01
"521",2015,"Wetland",7,"PH7",0,0.01
"522",2015,"Wetland",8,"PH8",3,0.01
"523",2015,"Wetland",9,"PH9",10,0.01
"524",2015,"Mesic",1,"PM1",13,0.04
"525",2015,"Mesic",2,"PM2",16,0.04
"526",2015,"Mesic",3,"PM3",5,0.04
"527",2015,"Mesic",4,"PM4",4,0.04
"528",2015,"Mesic",5,"PM5",0,0.04
"529",2015,"Mesic",6,"PM6",0,0.04
"530",2015,"Mesic",7,"PM7",3,0.04
"531",2015,"Mesic",8,"PM8",7,0.04
"532",2015,"Mesic",9,"PM9",11,0.04
"533",2016,"Wetland",1,"PH1",5,0.01
